from_station,to_station,speed(km/h),distance(m),travel_time(seconds)
Uzwil,Flawil,90,7489,300
Flawil,Gossau SG,109,7246,240
Gossau SG,St. Gallen,103,13761,480
Zürich HB,Olten,156,75637,1740
Olten,Bern,168,75802,1620
Genève-Aéroport,Genève,63,7402,420
Genève,Lausanne,134,73851,1980
Lausanne,Fribourg,115,82178,2580
Fribourg,Bern,107,39066,1320
Bern,Olten,175,75802,1560
Olten,Aarau,135,17955,480
Aarau,Zürich HB,144,57696,1440
Chur,Landquart,104,13841,480
Landquart,Bad Ragaz,93,7762,300
Bad Ragaz,Sargans,93,7745,300
Sargans,Ziegelbrücke,137,45724,1200
Ziegelbrücke,Pfäffikon SZ,123,32801,960
Pfäffikon SZ,Wädenswil,97,12988,480
Wädenswil,Thalwil,102,15225,540
Thalwil,Zürich HB,81,13439,600
Zürich HB,Basel SBB,138,122117,3180
Basel SBB,Zürich HB,138,122131,3180
Romanshorn,Amriswil,114,9476,300
Amriswil,Weinfelden,137,22828,600
Weinfelden,Frauenfeld,132,24109,660
Frauenfeld,Winterthur,117,21533,660
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,64,11735,660
Zürich HB,Bern,162,151439,3360
Bern,Thun,127,35943,1020
Thun,Spiez,81,12101,540
Spiez,Visp,145,62643,1560
Visp,Brig,92,12271,480
Brig,Visp,123,12271,360
Visp,Spiez,139,62643,1620
Spiez,Thun,81,12101,540
Thun,Bern,120,35943,1080
Bern,Zürich HB,162,151453,3360
Zürich HB,Zürich Flughafen,78,11735,540
Zürich Flughafen,Winterthur,100,25120,900
Winterthur,Frauenfeld,117,21533,660
Frauenfeld,Weinfelden,132,24109,660
Weinfelden,Amriswil,137,22828,600
Amriswil,Romanshorn,81,9476,420
Romanshorn,Amriswil,114,9476,300
Amriswil,Weinfelden,137,22828,600
Weinfelden,Frauenfeld,132,24109,660
Frauenfeld,Winterthur,117,21533,660
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,64,11735,660
Zürich HB,Bern,162,151439,3360
Bern,Thun,127,35943,1020
Thun,Spiez,81,12101,540
Spiez,Visp,145,62643,1560
Visp,Brig,92,12271,480
Brig,Visp,123,12271,360
Visp,Spiez,139,62643,1620
Spiez,Thun,81,12101,540
Thun,Bern,120,35943,1080
Bern,Zürich HB,162,151453,3360
Zürich HB,Zürich Flughafen,78,11735,540
Zürich Flughafen,Winterthur,100,25120,900
Winterthur,Frauenfeld,117,21533,660
Frauenfeld,Weinfelden,132,24109,660
Weinfelden,Amriswil,137,22828,600
Amriswil,Romanshorn,81,9476,420
Romanshorn,Amriswil,114,9476,300
Amriswil,Weinfelden,137,22828,600
Weinfelden,Frauenfeld,132,24109,660
Frauenfeld,Winterthur,117,21533,660
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,64,11735,660
Zürich HB,Bern,162,151439,3360
Bern,Thun,127,35943,1020
Thun,Spiez,81,12101,540
Spiez,Visp,145,62643,1560
Visp,Brig,92,12271,480
Brig,Visp,123,12271,360
Visp,Spiez,139,62643,1620
Spiez,Thun,81,12101,540
Thun,Bern,120,35943,1080
Bern,Zürich HB,162,151453,3360
Zürich HB,Zürich Flughafen,78,11735,540
Zürich Flughafen,Winterthur,100,25120,900
Winterthur,Frauenfeld,117,21533,660
Frauenfeld,Weinfelden,132,24109,660
Weinfelden,Amriswil,137,22828,600
Amriswil,Romanshorn,81,9476,420
Romanshorn,Amriswil,114,9476,300
Amriswil,Weinfelden,137,22828,600
Weinfelden,Frauenfeld,132,24109,660
Frauenfeld,Winterthur,117,21533,660
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,64,11735,660
Zürich HB,Bern,162,151439,3360
Bern,Thun,127,35943,1020
Thun,Spiez,81,12101,540
Spiez,Visp,145,62643,1560
Visp,Brig,92,12271,480
Brig,Visp,123,12271,360
Visp,Spiez,139,62643,1620
Spiez,Thun,81,12101,540
Thun,Bern,120,35943,1080
Bern,Zürich HB,162,151453,3360
Zürich HB,Zürich Flughafen,78,11735,540
Zürich Flughafen,Winterthur,100,25120,900
Winterthur,Frauenfeld,117,21533,660
Frauenfeld,Weinfelden,132,24109,660
Weinfelden,Amriswil,137,22828,600
Amriswil,Romanshorn,81,9476,420
Bern,Olten,175,75802,1560
Olten,Zürich HB,146,75651,1860
Zürich HB,Zürich Flughafen,78,11735,540
Zürich Flughafen,Winterthur,100,25120,900
Winterthur,Frauenfeld,117,21533,660
Frauenfeld,Weinfelden,132,24109,660
Weinfelden,Amriswil,137,22828,600
Amriswil,Romanshorn,81,9476,420
Romanshorn,Amriswil,114,9476,300
Amriswil,Weinfelden,137,22828,600
Weinfelden,Frauenfeld,132,24109,660
Frauenfeld,Winterthur,117,21533,660
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,64,11735,660
Zürich HB,Olten,151,75637,1800
Olten,Bern,168,75802,1620
Basel SBB,Liestal,126,18881,540
Liestal,Olten,107,30363,1020
Olten,Bern,168,75802,1620
Bern,Thun,127,35943,1020
Thun,Spiez,81,12101,540
Spiez,Interlaken West,72,21515,1080
Interlaken West,Interlaken Ost,32,2686,300
Interlaken Ost,Interlaken West,54,2686,180
Interlaken West,Spiez,81,21515,960
Spiez,Thun,81,12101,540
Thun,Bern,108,35943,1200
Bern,Olten,175,75802,1560
Olten,Liestal,121,30363,900
Liestal,Basel SBB,103,18881,660
Interlaken Ost,Interlaken West,54,2686,180
Interlaken West,Spiez,81,21515,960
Spiez,Thun,81,12101,540
Thun,Bern,108,35943,1200
Bern,Olten,175,75802,1560
Olten,Liestal,121,30363,900
Liestal,Basel SBB,103,18881,660
Interlaken Ost,Interlaken West,54,2686,180
Interlaken West,Spiez,76,21515,1020
Spiez,Thun,81,12101,540
Thun,Bern,114,35943,1140
Bern,Olten,175,75802,1560
Olten,Basel SBB,123,49244,1440
Zürich HB,Basel SBB,138,122117,3180
Basel SBB,Basel Bad Bf,56,5616,360
Basel SBB,Liestal,126,18881,540
Liestal,Olten,107,30363,1020
Olten,Bern,168,75802,1620
Bern,Thun,127,35943,1020
Thun,Spiez,81,12101,540
Spiez,Interlaken West,72,21515,1080
Interlaken West,Interlaken Ost,32,2686,300
Basel SBB,Zürich HB,138,122131,3180
St. Gallen,Gossau SG,138,13761,360
Gossau SG,Wil SG,135,27006,720
Wil SG,Winterthur,142,37758,960
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Aarau,150,57682,1380
Aarau,Olten,120,17955,540
Olten,Solothurn,170,45325,960
Solothurn,Biel/Bienne,156,36463,840
Biel/Bienne,Neuchâtel,145,38650,960
Neuchâtel,Yverdon-les-Bains,161,45481,1020
Yverdon-les-Bains,Lausanne,125,45717,1320
Lausanne,Yverdon-les-Bains,137,45717,1200
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,145,38650,960
Biel/Bienne,Solothurn,168,36463,780
Solothurn,Olten,160,45325,1020
Olten,Aarau,135,17955,480
Aarau,Zürich HB,133,57696,1560
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,151,37758,900
Wil SG,Gossau SG,135,27006,720
Gossau SG,St. Gallen,103,13761,480
St. Gallen,Gossau SG,138,13761,360
Gossau SG,Wil SG,135,27006,720
Wil SG,Winterthur,142,37758,960
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Aarau,150,57682,1380
Aarau,Olten,120,17955,540
Olten,Solothurn,170,45325,960
Solothurn,Biel/Bienne,156,36463,840
Biel/Bienne,Neuchâtel,145,38650,960
Neuchâtel,Yverdon-les-Bains,161,45481,1020
Yverdon-les-Bains,Lausanne,125,45717,1320
Lausanne,Yverdon-les-Bains,137,45717,1200
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,145,38650,960
Biel/Bienne,Solothurn,168,36463,780
Solothurn,Olten,160,45325,1020
Olten,Aarau,135,17955,480
Aarau,Zürich HB,133,57696,1560
Zürich HB,Zürich Flughafen,64,11735,660
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,151,37758,900
Wil SG,Gossau SG,135,27006,720
Gossau SG,St. Gallen,103,13761,480
St. Gallen,Gossau SG,138,13761,360
Gossau SG,Wil SG,135,27006,720
Wil SG,Winterthur,142,37758,960
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Aarau,150,57682,1380
Aarau,Olten,120,17955,540
Olten,Solothurn,170,45325,960
Solothurn,Grenchen Süd,147,17106,420
Grenchen Süd,Biel/Bienne,145,19357,480
Biel/Bienne,Neuchâtel,145,38650,960
Neuchâtel,Yverdon-les-Bains,161,45481,1020
Yverdon-les-Bains,Lausanne,125,45717,1320
St. Gallen,Gossau SG,138,13761,360
Gossau SG,Flawil,87,7246,300
Flawil,Uzwil,112,7489,240
Uzwil,Wil SG,123,12271,360
Wil SG,Winterthur,142,37758,960
Winterthur,Zürich Flughafen,116,25120,780
Zürich Flughafen,Zürich HB,70,11735,600
Zürich HB,Aarau,150,57682,1380
Aarau,Olten,120,17955,540
Olten,Oensingen,119,23752,720
Oensingen,Solothurn,118,21573,660
Solothurn,Grenchen Süd,171,17106,360
Grenchen Süd,Biel/Bienne,116,19357,600
Lausanne,Yverdon-les-Bains,137,45717,1200
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,145,38650,960
Biel/Bienne,Grenchen Süd,145,19357,480
Grenchen Süd,Solothurn,147,17106,420
Solothurn,Oensingen,108,21573,720
Oensingen,Olten,130,23752,660
Olten,Aarau,135,17955,480
Aarau,Zürich HB,138,57696,1500
Zürich HB,Zürich Flughafen,70,11735,600
Zürich Flughafen,Winterthur,116,25120,780
Winterthur,Wil SG,151,37758,900
Wil SG,Uzwil,123,12271,360
Uzwil,Flawil,90,7489,300
Flawil,Gossau SG,109,7246,240
Gossau SG,St. Gallen,118,13761,420
Biel/Bienne,Grenchen Süd,145,19357,480
Grenchen Süd,Solothurn,147,17106,420
Solothurn,Oensingen,108,21573,720
Oensingen,Olten,130,23752,660
Olten,Aarau,135,17955,480
Aarau,Lenzburg,135,13541,360
Lenzburg,Zürich HB,132,44155,1200
Basel SBB,Laufen,95,26973,1020
Laufen,Delémont,79,20968,960
Delémont,Moutier,84,12663,540
Moutier,Grenchen Nord,85,11337,480
Grenchen Nord,Biel/Bienne,122,18337,540
Biel/Bienne,Neuchâtel,145,38650,960
Neuchâtel,Yverdon-les-Bains,161,45481,1020
Yverdon-les-Bains,Lausanne,125,45717,1320
Lausanne,Yverdon-les-Bains,137,45717,1200
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,145,38650,960
Biel/Bienne,Grenchen Nord,110,18337,600
Grenchen Nord,Moutier,97,11337,420
Moutier,Delémont,76,12663,600
Delémont,Laufen,114,20968,660
Laufen,Basel SBB,90,26973,1080
Lausanne,Yverdon-les-Bains,137,45717,1200
Yverdon-les-Bains,Neuchâtel,152,45481,1080
Neuchâtel,Biel/Bienne,145,38650,960
Biel/Bienne,Grenchen Nord,110,18337,600
Grenchen Nord,Moutier,97,11337,420
Moutier,Delémont,76,12663,600
Lausanne,Yverdon-les-Bains,137,45717,1200
