from_station,to_station,speed(km/h),distance(m),travel_time(seconds)
Burghalden,Wädenswil,35,3516,360
Aarau,Buchs AG,93,2720,105
Buchs AG,Suhr,35,1768,180
Suhr,Gränichen Töndler,71,2066,105
Gränichen Töndler,Gränichen,27,800,105
Gränichen,Gränichen Oberdorf,82,1030,45
Gränichen Oberdorf,Bleien Liebegg,56,1633,105
Bleien Liebegg,Teufenthal AG,58,1682,105
Teufenthal AG,Unterkulm Nord,57,1663,105
Unterkulm Nord,Unterkulm,45,568,45
Unterkulm,Oberkulm Post,64,798,45
Oberkulm Post,Oberkulm,28,810,105
Oberkulm,Gontenschwil,52,3254,225
Gontenschwil,Zetzwil,34,1004,105
Zetzwil,Leimbach AG,69,2021,105
Leimbach AG,Reinach AG Nord,40,2476,225
Reinach AG Nord,Reinach AG Mitte,20,245,45
Reinach AG Mitte,Reinach AG,38,472,45
Reinach AG,Menziken,34,1138,120
Menziken,Reinach AG,91,1138,45
Reinach AG,Reinach AG Mitte,38,472,45
Reinach AG Mitte,Reinach AG Nord,8,245,105
Reinach AG Nord,Leimbach AG,85,2476,105
Leimbach AG,Zetzwil,69,2021,105
Zetzwil,Gontenschwil,34,1004,105
Gontenschwil,Oberkulm,71,3254,165
Oberkulm,Oberkulm Post,65,810,45
Oberkulm Post,Unterkulm,64,798,45
Unterkulm,Unterkulm Nord,12,568,165
Unterkulm Nord,Teufenthal AG,57,1663,105
Teufenthal AG,Bleien Liebegg,58,1682,105
Bleien Liebegg,Gränichen Oberdorf,131,1633,45
Gränichen Oberdorf,Gränichen,22,1030,165
Gränichen,Gränichen Töndler,64,800,45
Gränichen Töndler,Suhr,41,2066,180
Suhr,Buchs AG,61,1768,105
Buchs AG,Aarau,54,2720,180
Aarau,Buchs AG,93,2720,105
Buchs AG,Suhr,35,1768,180
Suhr,Gränichen Töndler,71,2066,105
Gränichen Töndler,Gränichen,27,800,105
Gränichen,Gränichen Oberdorf,82,1030,45
Gränichen Oberdorf,Bleien Liebegg,56,1633,105
Bleien Liebegg,Teufenthal AG,58,1682,105
Teufenthal AG,Unterkulm Nord,57,1663,105
Unterkulm Nord,Unterkulm,45,568,45
Unterkulm,Oberkulm Post,64,798,45
Oberkulm Post,Oberkulm,28,810,105
Oberkulm,Gontenschwil,52,3254,225
Gontenschwil,Zetzwil,34,1004,105
Zetzwil,Leimbach AG,69,2021,105
Leimbach AG,Reinach AG Nord,40,2476,225
Reinach AG Nord,Reinach AG Mitte,20,245,45
Reinach AG Mitte,Reinach AG,38,472,45
Reinach AG,Menziken,34,1138,120
Aarau,Buchs AG,93,2720,105
Buchs AG,Suhr,35,1768,180
Suhr,Gränichen Töndler,71,2066,105
Gränichen Töndler,Gränichen,27,800,105
Gränichen,Gränichen Oberdorf,82,1030,45
Gränichen Oberdorf,Bleien Liebegg,56,1633,105
Bleien Liebegg,Teufenthal AG,58,1682,105
Teufenthal AG,Unterkulm Nord,57,1663,105
Unterkulm Nord,Unterkulm,45,568,45
Unterkulm,Oberkulm Post,64,798,45
Oberkulm Post,Oberkulm,28,810,105
Oberkulm,Gontenschwil,52,3254,225
Gontenschwil,Zetzwil,34,1004,105
Zetzwil,Leimbach AG,69,2021,105
Leimbach AG,Reinach AG Nord,40,2476,225
Reinach AG Nord,Reinach AG Mitte,20,245,45
Reinach AG Mitte,Reinach AG,38,472,45
Reinach AG,Menziken,34,1138,120
Menziken,Reinach AG,91,1138,45
Reinach AG,Reinach AG Mitte,38,472,45
Reinach AG Mitte,Reinach AG Nord,8,245,105
Reinach AG Nord,Leimbach AG,85,2476,105
Leimbach AG,Zetzwil,69,2021,105
Zetzwil,Gontenschwil,34,1004,105
Gontenschwil,Oberkulm,71,3254,165
Oberkulm,Oberkulm Post,65,810,45
Oberkulm Post,Unterkulm,64,798,45
Unterkulm,Unterkulm Nord,12,568,165
Unterkulm Nord,Teufenthal AG,57,1663,105
Teufenthal AG,Bleien Liebegg,58,1682,105
Bleien Liebegg,Gränichen Oberdorf,131,1633,45
Gränichen Oberdorf,Gränichen,22,1030,165
Gränichen,Gränichen Töndler,64,800,45
Gränichen Töndler,Suhr,41,2066,180
Suhr,Buchs AG,61,1768,105
Buchs AG,Aarau,54,2720,180
Menziken,Reinach AG,91,1138,45
Reinach AG,Reinach AG Mitte,38,472,45
Reinach AG Mitte,Reinach AG Nord,8,245,105
Reinach AG Nord,Leimbach AG,85,2476,105
Leimbach AG,Zetzwil,69,2021,105
Zetzwil,Gontenschwil,34,1004,105
Gontenschwil,Oberkulm,71,3254,165
Oberkulm,Oberkulm Post,65,810,45
Oberkulm Post,Unterkulm,64,798,45
Unterkulm,Unterkulm Nord,12,568,165
Unterkulm Nord,Teufenthal AG,57,1663,105
Teufenthal AG,Bleien Liebegg,58,1682,105
Bleien Liebegg,Gränichen Oberdorf,131,1633,45
Gränichen Oberdorf,Gränichen,22,1030,165
Gränichen,Gränichen Töndler,64,800,45
Gränichen Töndler,Suhr,41,2066,180
Suhr,Buchs AG,61,1768,105
Buchs AG,Aarau,54,2720,180
Aarau,Binzenhof,123,1534,45
Binzenhof,Distelberg,26,754,105
Distelberg,Unterentfelden Post,33,975,105
Unterentfelden Post,Unterentfelden Oberdorf,46,578,45
Unterentfelden Oberdorf,Oberentfelden Uerkenbrücke,13,385,105
Oberentfelden Uerkenbrücke,Oberentfelden Engelplatz,11,307,105
Oberentfelden Engelplatz,Muhen Nord,73,2131,105
Muhen Nord,Muhen,67,835,45
Muhen,Mittelmuhen,29,359,45
Mittelmuhen,Obermuhen,17,499,105
Obermuhen,Hirschthal,38,1108,105
Hirschthal,Schöftland Nordweg,85,1059,45
Schöftland Nordweg,Schöftland,18,599,120
Schöftland,Schöftland Nordweg,48,599,45
Schöftland Nordweg,Hirschthal,36,1059,105
Hirschthal,Obermuhen,38,1108,105
Obermuhen,Mittelmuhen,40,499,45
Mittelmuhen,Muhen,12,359,105
Muhen,Muhen Nord,67,835,45
Muhen Nord,Oberentfelden Engelplatz,34,2131,225
Oberentfelden Engelplatz,Oberentfelden Uerkenbrücke,25,307,45
Oberentfelden Uerkenbrücke,Unterentfelden Oberdorf,31,385,45
Unterentfelden Oberdorf,Unterentfelden Post,46,578,45
Unterentfelden Post,Distelberg,33,975,105
Distelberg,Binzenhof,60,754,45
Binzenhof,Aarau,31,1534,180
Schöftland,Schöftland Nordweg,48,599,45
Schöftland Nordweg,Hirschthal,36,1059,105
Hirschthal,Obermuhen,38,1108,105
Obermuhen,Mittelmuhen,40,499,45
Mittelmuhen,Muhen,12,359,105
Muhen,Muhen Nord,67,835,45
Muhen Nord,Oberentfelden Engelplatz,34,2131,225
Oberentfelden Engelplatz,Oberentfelden Uerkenbrücke,25,307,45
Oberentfelden Uerkenbrücke,Unterentfelden Oberdorf,31,385,45
Unterentfelden Oberdorf,Unterentfelden Post,46,578,45
Unterentfelden Post,Distelberg,33,975,105
Distelberg,Binzenhof,60,754,45
Binzenhof,Aarau,31,1534,180
Aarau,Binzenhof,123,1534,45
Binzenhof,Distelberg,26,754,105
Distelberg,Unterentfelden Post,33,975,105
Unterentfelden Post,Unterentfelden Oberdorf,46,578,45
Unterentfelden Oberdorf,Oberentfelden Uerkenbrücke,13,385,105
Oberentfelden Uerkenbrücke,Oberentfelden Engelplatz,11,307,105
Oberentfelden Engelplatz,Muhen Nord,34,2131,225
Muhen Nord,Muhen,29,835,105
Muhen,Mittelmuhen,29,359,45
Mittelmuhen,Obermuhen,17,499,105
Obermuhen,Hirschthal,38,1108,105
Hirschthal,Schöftland Nordweg,85,1059,45
Schöftland Nordweg,Schöftland,18,599,120
Zürich HB,Zürich Wipkingen,78,3580,165
Zürich Wipkingen,Zürich Oerlikon,58,2884,180
Zürich Oerlikon,Wallisellen,117,5385,165
Wallisellen,Dübendorf,82,3760,165
Dübendorf,Schwerzenbach ZH,81,4031,180
Schwerzenbach ZH,Nänikon-Greifensee,124,3627,105
Nänikon-Greifensee,Uster,78,3895,180
Uster,Aathal,128,5880,165
Aathal,Wetzikon,43,3591,300
Wetzikon,Hinwil,72,5964,300
Hinwil,Wetzikon,72,5964,300
Wetzikon,Aathal,123,3591,105
Aathal,Uster,88,5880,240
Uster,Nänikon-Greifensee,134,3895,105
Nänikon-Greifensee,Schwerzenbach ZH,73,3627,180
Schwerzenbach ZH,Dübendorf,121,4031,120
Dübendorf,Wallisellen,82,3760,165
Wallisellen,Zürich Oerlikon,108,5385,180
Zürich Oerlikon,Zürich Wipkingen,99,2884,105
Zürich Wipkingen,Zürich HB,39,3228,300
Rapperswil,Jona,75,2181,105
Jona,Rüti ZH,90,5976,240
Rüti ZH,Bubikon,113,3769,120
Bubikon,Wetzikon,78,6475,300
Wetzikon,Uster,114,9471,300
Uster,Zürich Stadelhofen,130,21701,600
Zürich Stadelhofen,Zürich HB,38,1924,180
Zürich HB,Zürich Hardbrücke,89,2599,105
Zürich Hardbrücke,Zürich Altstetten,48,3221,240
Zürich Altstetten,Urdorf,136,6232,165
Urdorf,Urdorf Weihermatt,48,1389,105
Urdorf Weihermatt,Birmensdorf ZH,47,3105,240
Birmensdorf ZH,Bonstetten-Wettswil,103,6439,225
Bonstetten-Wettswil,Hedingen,76,4780,225
Hedingen,Affoltern am Albis,37,3086,300
Affoltern am Albis,Hedingen,106,3086,105
Hedingen,Bonstetten-Wettswil,76,4780,225
Bonstetten-Wettswil,Birmensdorf ZH,77,6439,300
Birmensdorf ZH,Urdorf Weihermatt,106,3105,105
Urdorf Weihermatt,Urdorf,48,1389,105
Urdorf,Zürich Altstetten,75,6232,300
Zürich Altstetten,Zürich Hardbrücke,111,3232,105
Zürich Hardbrücke,Zürich HB,31,2586,300
Zürich HB,Zürich Stadelhofen,58,1924,120
Zürich Stadelhofen,Uster,118,21701,660
Uster,Wetzikon,114,9471,300
Wetzikon,Bubikon,104,6475,225
Bubikon,Rüti ZH,75,3769,180
Rüti ZH,Jona,96,5976,225
Jona,Rapperswil,44,2181,180
Rapperswil,Jona,75,2181,105
Jona,Rüti ZH,90,5976,240
Rüti ZH,Bubikon,113,3769,120
Bubikon,Wetzikon,78,6475,300
Wetzikon,Uster,114,9471,300
Uster,Zürich Stadelhofen,130,21701,600
Zürich Stadelhofen,Zürich HB,38,1924,180
Zürich HB,Zürich Hardbrücke,89,2599,105
Zürich Hardbrücke,Zürich Altstetten,48,3221,240
Zürich Altstetten,Urdorf,136,6232,165
Urdorf,Urdorf Weihermatt,48,1389,105
Urdorf Weihermatt,Birmensdorf ZH,47,3105,240
Birmensdorf ZH,Bonstetten-Wettswil,103,6439,225
Bonstetten-Wettswil,Hedingen,76,4780,225
Hedingen,Affoltern am Albis,37,3086,300
Affoltern am Albis,Hedingen,106,3086,105
Hedingen,Bonstetten-Wettswil,76,4780,225
Bonstetten-Wettswil,Birmensdorf ZH,77,6439,300
Birmensdorf ZH,Urdorf Weihermatt,106,3105,105
Urdorf Weihermatt,Urdorf,48,1389,105
Urdorf,Zürich Altstetten,75,6232,300
Zürich Altstetten,Zürich Hardbrücke,111,3232,105
Zürich Hardbrücke,Zürich HB,31,2586,300
Zürich HB,Zürich Stadelhofen,58,1924,120
Zürich Stadelhofen,Uster,118,21701,660
Uster,Wetzikon,114,9471,300
Wetzikon,Bubikon,104,6475,225
Bubikon,Rüti ZH,75,3769,180
Rüti ZH,Jona,96,5976,225
Jona,Rapperswil,44,2181,180
Herrliberg-Feldmeilen,Winkel am Zürichsee,82,2400,105
Winkel am Zürichsee,Erlenbach ZH,44,1284,105
Erlenbach ZH,Küsnacht ZH,60,1986,120
Küsnacht ZH,Küsnacht Goldbach,75,940,45
Küsnacht Goldbach,Zollikon,49,1433,105
Zollikon,Zürich Tiefenbrunnen,37,1687,165
Zürich Tiefenbrunnen,Zürich Stadelhofen,49,2469,180
Zürich Stadelhofen,Zürich HB,38,1924,180
Zürich HB,Zürich Hardbrücke,89,2589,105
Zürich Hardbrücke,Zürich Oerlikon,86,5718,240
Zürich Oerlikon,Zürich Flughafen,79,5271,240
Zürich Flughafen,Effretikon,127,14859,420
Effretikon,Winterthur,77,10261,480
Winterthur,Andelfingen,88,14718,600
Andelfingen,Neuhausen,101,18022,645
Neuhausen,Schaffhausen,51,2563,180
Schaffhausen,Thayngen,92,10678,420
Zürich Flughafen,Zürich Oerlikon,79,5271,240
Zürich Oerlikon,Zürich Hardbrücke,125,5718,165
Zürich Hardbrücke,Zürich HB,52,2589,180
Zürich HB,Zürich Stadelhofen,58,1924,120
Zürich Stadelhofen,Zürich Tiefenbrunnen,74,2469,120
Zürich Tiefenbrunnen,Zollikon,58,1687,105
Zollikon,Küsnacht Goldbach,115,1433,45
Küsnacht Goldbach,Küsnacht ZH,19,940,180
Küsnacht ZH,Erlenbach ZH,68,1986,105
Erlenbach ZH,Winkel am Zürichsee,103,1284,45
Winkel am Zürichsee,Herrliberg-Feldmeilen,36,2400,240
Herrliberg-Feldmeilen,Winkel am Zürichsee,82,2400,105
Winkel am Zürichsee,Erlenbach ZH,44,1284,105
Erlenbach ZH,Küsnacht ZH,60,1986,120
Küsnacht ZH,Küsnacht Goldbach,75,940,45
Küsnacht Goldbach,Zollikon,49,1433,105
Zollikon,Zürich Tiefenbrunnen,37,1687,165
Zürich Tiefenbrunnen,Zürich Stadelhofen,49,2469,180
Zürich Stadelhofen,Zürich HB,38,1924,180
Zürich HB,Zürich Hardbrücke,89,2589,105
Zürich Hardbrücke,Zürich Oerlikon,86,5718,240
Zürich Oerlikon,Zürich Flughafen,79,5271,240
Thayngen,Schaffhausen,80,10678,480
Schaffhausen,Neuhausen,56,2563,165
Neuhausen,Andelfingen,90,18022,720
Andelfingen,Winterthur,74,14718,720
Winterthur,Effretikon,79,10261,465
Effretikon,Zürich Flughafen,111,14859,480
Zürich Flughafen,Zürich Oerlikon,79,5271,240
Zürich Oerlikon,Zürich Hardbrücke,125,5718,165
Zürich Hardbrücke,Zürich HB,52,2589,180
Zürich HB,Zürich Stadelhofen,58,1924,120
Zürich Stadelhofen,Zürich Tiefenbrunnen,74,2469,120
Zürich Tiefenbrunnen,Zollikon,58,1687,105
Zollikon,Küsnacht Goldbach,115,1433,45
Küsnacht Goldbach,Küsnacht ZH,19,940,180
Küsnacht ZH,Erlenbach ZH,68,1986,105
Erlenbach ZH,Winkel am Zürichsee,103,1284,45
Winkel am Zürichsee,Herrliberg-Feldmeilen,36,2400,240
Dietikon,Dietikon Schöneggstrasse,56,702,45
Dietikon Schöneggstrasse,Bergfrieden,41,514,45
Bergfrieden,Dietikon Stoffelbach,31,393,45
Dietikon Stoffelbach,Reppischhof,42,1226,105
Reppischhof,Rudolfstetten,53,2438,165
Rudolfstetten,Rudolfstetten Hofacker,64,799,45
Rudolfstetten Hofacker,Berikon-Widen,36,1666,165
Berikon-Widen,Zufikon Belvédère,77,958,45
Zufikon Belvédère,Widen Heinrüti,101,1266,45
Widen Heinrüti,Zufikon Hammergut,53,668,45
Zufikon Hammergut,Zufikon,52,644,45
Zufikon,Bibenlos-Sonnenhof,19,555,105
Bibenlos-Sonnenhof,Bremgarten,13,662,180
Bremgarten,Bremgarten Obertor,16,199,45
Bremgarten Obertor,Bremgarten Isenlauf,49,607,45
Bremgarten Isenlauf,Bremgarten West,20,579,105
Bremgarten West,Erdmannlistein,90,4111,165
Erdmannlistein,Wohlen Oberdorf,66,3039,165
Wohlen Oberdorf,Wohlen AG,41,2061,180
Wohlen AG,Wohlen Oberdorf,71,2061,105
Wohlen Oberdorf,Erdmannlistein,104,3039,105
Erdmannlistein,Bremgarten West,52,4111,285
Bremgarten West,Bremgarten Isenlauf,46,579,45
Bremgarten Isenlauf,Bremgarten Obertor,49,607,45
Bremgarten Obertor,Bremgarten,12,199,60
Bremgarten,Bibenlos-Sonnenhof,53,662,45
Bibenlos-Sonnenhof,Zufikon,44,555,45
Zufikon,Zufikon Hammergut,22,644,105
Zufikon Hammergut,Widen Heinrüti,23,668,105
Widen Heinrüti,Zufikon Belvédère,101,1266,45
Zufikon Belvédère,Berikon-Widen,21,958,165
Berikon-Widen,Rudolfstetten Hofacker,57,1666,105
Rudolfstetten Hofacker,Rudolfstetten,64,799,45
Rudolfstetten,Reppischhof,84,2438,105
Reppischhof,Dietikon Stoffelbach,42,1226,105
Dietikon Stoffelbach,Bergfrieden,31,393,45
Bergfrieden,Dietikon Schöneggstrasse,41,514,45
Dietikon Schöneggstrasse,Dietikon,14,702,180
Bremgarten West,Bremgarten Isenlauf,46,579,45
Bremgarten Isenlauf,Bremgarten Obertor,49,607,45
Bremgarten Obertor,Bremgarten,12,199,60
Bremgarten,Bibenlos-Sonnenhof,53,662,45
Bibenlos-Sonnenhof,Zufikon,44,555,45
Zufikon,Zufikon Hammergut,22,644,105
Zufikon Hammergut,Widen Heinrüti,23,668,105
Widen Heinrüti,Zufikon Belvédère,101,1266,45
Zufikon Belvédère,Berikon-Widen,21,958,165
Berikon-Widen,Rudolfstetten Hofacker,57,1666,105
Rudolfstetten Hofacker,Rudolfstetten,64,799,45
Rudolfstetten,Reppischhof,84,2438,105
Reppischhof,Dietikon Stoffelbach,42,1226,105
Dietikon Stoffelbach,Bergfrieden,31,393,45
Bergfrieden,Dietikon Schöneggstrasse,41,514,45
Dietikon Schöneggstrasse,Dietikon,14,702,180
Dietikon,Dietikon Schöneggstrasse,56,702,45
Dietikon Schöneggstrasse,Bergfrieden,41,514,45
Bergfrieden,Dietikon Stoffelbach,31,393,45
Dietikon Stoffelbach,Reppischhof,42,1226,105
Reppischhof,Rudolfstetten,39,2438,225
Rudolfstetten,Rudolfstetten Hofacker,64,799,45
Rudolfstetten Hofacker,Berikon-Widen,36,1666,165
Berikon-Widen,Zufikon Belvédère,77,958,45
Zufikon Belvédère,Widen Heinrüti,101,1266,45
Widen Heinrüti,Zufikon Hammergut,53,668,45
Zufikon Hammergut,Zufikon,52,644,45
Zufikon,Bibenlos-Sonnenhof,19,555,105
Bibenlos-Sonnenhof,Bremgarten,20,662,120
Bremgarten,Bremgarten Obertor,16,199,45
Bremgarten Obertor,Bremgarten Isenlauf,49,607,45
Bremgarten Isenlauf,Bremgarten West,17,579,120
Forch,Neue Forch,97,1214,45
Neue Forch,Maiacher,65,818,45
Maiacher,Zumikon,34,986,105
Zumikon,Waltikon,81,1008,45
Waltikon,Zollikerberg,63,1823,105
Zollikerberg,Spital Zollikerberg,55,688,45
Spital Zollikerberg,Waldburg,47,584,45
Waldburg,Zürich Rehalp,30,1356,165
Zürich Rehalp,Zürich Balgrist,34,991,105
Zürich Balgrist,Zürich Hegibachplatz,41,1885,165
Zürich Hegibachplatz,Zürich Kreuzplatz,18,813,165
Zürich Kreuzplatz,Zürich Stadelhofen FB,21,684,120
Zürich Stadelhofen FB,Zürich Kreuzplatz,55,684,45
Zürich Kreuzplatz,Zürich Hegibachplatz,28,813,105
Zürich Hegibachplatz,Zürich Balgrist,41,1885,165
Zürich Balgrist,Zürich Rehalp,22,991,165
Zürich Rehalp,Waldburg,46,1356,105
Waldburg,Spital Zollikerberg,47,584,45
Spital Zollikerberg,Zollikerberg,55,688,45
Zollikerberg,Waltikon,63,1823,105
Waltikon,Zumikon,35,1008,105
Zumikon,Maiacher,79,986,45
Maiacher,Neue Forch,65,818,45
Neue Forch,Forch,36,1214,120
Forch,Neue Forch,97,1214,45
Neue Forch,Maiacher,65,818,45
Maiacher,Zumikon,34,986,105
Zumikon,Waltikon,81,1008,45
Waltikon,Zollikerberg,63,1823,105
Zollikerberg,Spital Zollikerberg,55,688,45
Spital Zollikerberg,Waldburg,47,584,45
Waldburg,Zürich Rehalp,30,1356,165
Zürich Rehalp,Zürich Balgrist,34,991,105
Zürich Balgrist,Zürich Hegibachplatz,41,1885,165
Zürich Hegibachplatz,Zürich Kreuzplatz,18,813,165
Zürich Kreuzplatz,Zürich Stadelhofen FB,21,684,120
Zürich Stadelhofen FB,Zürich Kreuzplatz,55,684,45
Zürich Kreuzplatz,Zürich Hegibachplatz,28,813,105
Zürich Hegibachplatz,Zürich Balgrist,41,1885,165
Zürich Balgrist,Zürich Rehalp,22,991,165
Zürich Rehalp,Forch,73,8477,420
Forch,Scheuren,46,1328,105
Scheuren,Neuhaus bei Hinteregg,68,1985,105
Neuhaus bei Hinteregg,Hinteregg,51,1479,105
Hinteregg,Egg,29,832,105
Egg,Langwies ZH,58,720,45
Langwies ZH,Emmat,32,940,105
Emmat,Esslingen,31,1022,120
Esslingen,Emmat,82,1022,45
Emmat,Langwies ZH,75,940,45
Langwies ZH,Egg,25,720,105
Egg,Hinteregg,29,832,105
Hinteregg,Neuhaus bei Hinteregg,51,1479,105
Neuhaus bei Hinteregg,Scheuren,68,1985,105
Scheuren,Forch,46,1328,105
Forch,Zürich Rehalp,66,8477,465
Zürich Rehalp,Zürich Balgrist,34,991,105
Zürich Balgrist,Zürich Hegibachplatz,41,1885,165
Zürich Hegibachplatz,Zürich Kreuzplatz,18,813,165
Zürich Kreuzplatz,Zürich Stadelhofen FB,21,684,120
Zürich Stadelhofen FB,Zürich Kreuzplatz,55,684,45
Zürich Kreuzplatz,Zürich Hegibachplatz,28,813,105
Zürich Hegibachplatz,Zürich Balgrist,41,1885,165
Zürich Balgrist,Zürich Rehalp,22,991,165
Zürich Rehalp,Forch,73,8477,420
Forch,Scheuren,46,1328,105
Scheuren,Neuhaus bei Hinteregg,68,1985,105
Neuhaus bei Hinteregg,Hinteregg,51,1479,105
Hinteregg,Egg,29,832,105
Egg,Langwies ZH,58,720,45
Langwies ZH,Emmat,32,940,105
Emmat,Esslingen,31,1022,120
Esslingen,Emmat,82,1022,45
Emmat,Langwies ZH,75,940,45
Langwies ZH,Egg,25,720,105
Egg,Hinteregg,29,832,105
Hinteregg,Neuhaus bei Hinteregg,51,1479,105
Neuhaus bei Hinteregg,Scheuren,68,1985,105
Scheuren,Forch,46,1328,105
Forch,Zürich Rehalp,66,8477,465
Zürich Rehalp,Zürich Balgrist,34,991,105
Zürich Balgrist,Zürich Hegibachplatz,41,1885,165
Zürich Hegibachplatz,Zürich Kreuzplatz,18,813,165
Zürich Kreuzplatz,Zürich Stadelhofen FB,21,684,120
Sursee,Oberkirch LU,87,2525,105
Oberkirch LU,Nottwil,110,3213,105
Nottwil,Sempach-Neuenkirch,105,7025,240
Sempach-Neuenkirch,Rothenburg,158,7260,165
Rothenburg,Rothenburg Dorf,68,3116,165
Rothenburg Dorf,Emmenbrücke Gersag,52,2581,180
Emmenbrücke Gersag,Emmenbrücke,82,1022,45
Emmenbrücke,Luzern,48,5581,420
Luzern,Emmenbrücke,70,5581,285
Emmenbrücke,Emmenbrücke Gersag,31,1022,120
Emmenbrücke Gersag,Rothenburg Dorf,88,2581,105
Rothenburg Dorf,Rothenburg,107,3116,105
Rothenburg,Sempach-Neuenkirch,92,7260,285
Sempach-Neuenkirch,Nottwil,153,7025,165
Nottwil,Oberkirch LU,110,3213,105
Oberkirch LU,Sursee,38,2525,240
Palézieux,Moreillon,115,7204,225
Moreillon,Puidoux-Chexbres,65,2969,165
Puidoux-Chexbres,Grandvaux,113,5196,165
Grandvaux,Bossière,112,3279,105
Bossière,La Conversion,79,2315,105
La Conversion,Pully-Nord,39,2433,225
Pully-Nord,Lausanne,49,3267,240
Lausanne,Renens VD,91,6090,240
Renens VD,Bussigny,108,3149,105
Bussigny,Cossonay,107,8509,285
Cossonay,La Sarraz,99,9932,360
La Sarraz,Arnex,85,5316,225
Arnex,Croy-Romainmôtier,94,7436,285
Croy-Romainmôtier,Bretonnières,75,2192,105
Bretonnières,Le Day,83,9630,420
Le Day,Vallorbe,51,4287,300
Vallorbe,Le Day,86,4287,180
Le Day,Bretonnières,100,9630,345
Bretonnières,Croy-Romainmôtier,75,2192,105
Croy-Romainmôtier,Arnex,94,7436,285
Arnex,La Sarraz,64,5316,300
La Sarraz,Cossonay,104,9932,345
Cossonay,Bussigny,136,8509,225
Bussigny,Renens VD,47,3149,240
Renens VD,Lausanne,73,6090,300
Lausanne,Pully-Nord,112,3267,105
Pully-Nord,La Conversion,195,2433,45
La Conversion,Bossière,79,2315,105
Bossière,Grandvaux,72,3279,165
Grandvaux,Puidoux-Chexbres,62,5196,300
Puidoux-Chexbres,Moreillon,102,2969,105
Moreillon,Palézieux,72,7204,360
Langnau i. E.,Emmenmatt,107,4898,165
Emmenmatt,Signau,67,4203,225
Signau,Bowil,126,3675,105
Bowil,Zäziwil,92,4225,165
Zäziwil,Konolfingen,51,5126,360
Konolfingen,Tägertschi,158,4617,105
Tägertschi,Worb SBB,74,4644,225
Worb SBB,Gümligen,86,7187,300
Gümligen,Ostermundigen,125,3650,105
Ostermundigen,Bern Wankdorf,66,3039,165
Bern Wankdorf,Bern,44,3694,300
Bern,Bern Ausserholligen SBB,59,2702,165
Bern Ausserholligen SBB,Bern Bümpliz Süd,84,2445,105
Bern Bümpliz Süd,Niederwangen,80,2344,105
Niederwangen,Oberwangen,72,2109,105
Oberwangen,Thörishaus Station,43,1251,105
Thörishaus Station,Thörishaus Dorf,47,1375,105
Thörishaus Dorf,Flamatt,46,3607,285
Flamatt,Flamatt Dorf,110,1372,45
Flamatt Dorf,Neuenegg,39,1298,120
Neuenegg,Laupen,62,7189,420
Laupen,Neuenegg,91,7189,285
Neuenegg,Flamatt Dorf,104,1298,45
Flamatt Dorf,Flamatt,27,1372,180
Flamatt,Thörishaus Dorf,79,3607,165
Thörishaus Dorf,Thörishaus Station,47,1375,105
Thörishaus Station,Oberwangen,100,1251,45
Oberwangen,Niederwangen,72,2109,105
Niederwangen,Bern Bümpliz Süd,38,2344,225
Bern Bümpliz Süd,Bern Ausserholligen SBB,196,2445,45
Bern Ausserholligen SBB,Bern,23,2702,420
Bern,Bern Wankdorf,127,3694,105
Bern Wankdorf,Ostermundigen,104,3039,105
Ostermundigen,Gümligen,46,3650,285
Gümligen,Worb SBB,157,7187,165
Worb SBB,Tägertschi,74,4644,225
Tägertschi,Konolfingen,55,4617,300
Konolfingen,Zäziwil,176,5126,105
Zäziwil,Bowil,92,4225,165
Bowil,Signau,46,3675,285
Signau,Emmenmatt,92,4203,165
Emmenmatt,Langnau i. E.,59,4898,300
Langnau i. E.,Emmenmatt,107,4898,165
Emmenmatt,Signau,67,4203,225
Signau,Bowil,126,3675,105
Bowil,Zäziwil,92,4225,165
Zäziwil,Konolfingen,62,5126,300
Konolfingen,Tägertschi,158,4617,105
Tägertschi,Worb SBB,74,4644,225
Worb SBB,Gümligen,75,7187,345
Gümligen,Ostermundigen,125,3650,105
Ostermundigen,Bern Wankdorf,66,3039,165
Bern Wankdorf,Bern,44,3694,300
Bern,Bern Ausserholligen SBB,59,2702,165
Bern Ausserholligen SBB,Bern Bümpliz Süd,84,2445,105
Bern Bümpliz Süd,Niederwangen,80,2344,105
Niederwangen,Oberwangen,72,2109,105
Oberwangen,Thörishaus Station,43,1251,105
Thörishaus Station,Thörishaus Dorf,47,1375,105
Thörishaus Dorf,Flamatt,46,3607,285
Flamatt,Flamatt Dorf,110,1372,45
Flamatt Dorf,Neuenegg,39,1298,120
Neuenegg,Laupen,62,7189,420
Laupen,Neuenegg,91,7189,285
Neuenegg,Flamatt Dorf,104,1298,45
Flamatt Dorf,Flamatt,27,1372,180
Flamatt,Thörishaus Dorf,79,3607,165
Thörishaus Dorf,Thörishaus Station,47,1375,105
Thörishaus Station,Oberwangen,100,1251,45
Oberwangen,Niederwangen,72,2109,105
Niederwangen,Bern Bümpliz Süd,38,2344,225
Bern Bümpliz Süd,Bern Ausserholligen SBB,196,2445,45
Bern Ausserholligen SBB,Bern,23,2702,420
Bern,Bern Wankdorf,127,3694,105
Bern Wankdorf,Ostermundigen,104,3039,105
Ostermundigen,Gümligen,46,3650,285
Gümligen,Worb SBB,157,7187,165
