8503512,Glanzenberg,0,0,0,0,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,2,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8503525,Otelfingen Golfpark,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503526,Regensdorf-Watt,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503527,Buchs-Dällikon,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503528,Otelfingen,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8503529,Würenlos,1,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,1,0,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2
8593772,Gryon-Chalméry,0,0,0,0,0,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0
8593773,Les Bovets,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,0,2,0,1,1,2,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,0,2,0,1,1,2,1,0
8593774,La Faverge,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,0,2,0,1,1,2,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,0,2,0,1,1,2,1,0
8593775,Les Nicolets,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,0,2,0,1,1,2,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,0,2,0,1,1,2,1,0
8593776,Plan Morier,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,0,2,0,1,1,2,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,1,2,0,2,0,1,1,2,1,0
8501007,Vernier,0,0,0,0,0,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0
8014586,Konstanz,0,0,0,0,0,1,3,4,3,2,2,2,2,2,2,3,3,4,4,3,3,1,0,0,0,0,0,0,0,1,3,4,3,2,2,2,2,2,2,3,3,4,4,3,3,1,0,0
8500194,Pré-Petitjean,0,0,0,0,0,0,1,1,2,2,1,2,1,2,2,2,2,2,2,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,1,2,2,2,2,2,2,3,1,0,0,0
8500199,Combe-Tabeillon,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0
8504000,Pully-Nord,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1
8504003,Bossière,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1
8504007,Moreillon,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
